Time;;22ll8;272s9;27lw4;28zvk;29z2z;428kh;46xmb;486ll;48l2j;4cz5c;4qv8w;4snrh;558vk;5bzng;5ds9w;5hm9v;5kkq9;5nvq5;5p9fq;5r9l5;5s9c2;6df8c;6mvqv;6pwtk;75r9p;7hqvm;7jlmr;7kqlm;7l9cn;7ltbf;7xdzb;87d9p;87s2c;88zt4;8fk9t;8hgnj;8tx27;8zvhf;94568;96pqv;96w9n;9dbsm;9qrqk;b9qrg;bbdld;bbnnk;bdwvx;c72lw;c8ws2;cksxf;cppl6;crj2t;csbpb;d7s5n;dffbb;dfh79;dzpwp;f9h54;fc6xz;fjlmw;fl782;fncvm;fwprt;gw4n5;gzrgj;h4flp;hbw9w;hgskq;hjsbt;hxbkv;hz9pb;j6slb;jfzqr;jjkbg;jzwjz;k7l6c;k8v45;kg2dz;kht4z;kmjtv;kmr84;l2b46;l79mt;lg8vm;lkjmh;lkt9z;llxw4;lz54x;m698r;mlfxr;mq6jv;mt8ql;nb485;npt2d;pfqgw;q4l7j;q57lq;qgckn;ql6g9;r8h4w;rc668;rcn8d;rh2hn;rkqt2;s6hbz;sqvtr;tb7tc;tmdrq;twtmx;txv4d;v28tw;v5j4h;vh2p5;vnflw;vnfqz;vqtn6;vzn65;wzgd9;xcld4;xctl5;xfqkb;xt5x4;xz44z;z4k9b;z5bsj;zbh2v;zc69n;zcq5c;zxfvd;zxxdr;;
2:13:00;2:13:00;;;;;;;;;;;;;;;0.25%;;;;;;;;;;;;0.25%;;;;;;;;;0.23%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.19%;;;;;;;;;;;
2:13:20;2:13:20;;;;;;;;;;;;;;;0.34%;;;;;;;;;;;;0.23%;;;;;0.21%;;;;0.21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24%;;;;;;;;;;;
2:13:40;2:13:40;;;;;;;;;;;;;;;0.15%;;;;;;;;;;;;0.19%;;;;;0.28%;;;;0.16%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.19%;;;;;;;;;;;
2:14:00;2:14:00;;;;;;;;;;;;;;;0.10%;;;;;;;;;;;;0.09%;;;;;0.08%;;;;0.12%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11%;;;;;;;;;;;
2:14:20;2:14:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:14:40;2:14:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:15:00;2:15:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:15:20;2:15:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:15:40;2:15:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:16:00;2:16:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:16:20;2:16:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:16:40;2:16:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:17:00;2:17:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:17:20;2:17:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:17:40;2:17:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.49%;;;;;;;;;;;
2:18:00;2:18:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06%;;;;;;;;;;;
2:18:20;2:18:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.67%;;;;;;;;;;;
2:18:40;2:18:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.52%;;;;;;;;;;;
2:19:00;2:19:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:19:20;2:19:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.54%;;;;;;;;;;;
2:19:40;2:19:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.64%;;;;;;;;;;;
2:20:00;2:20:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01%;;;;;;;;;;;
2:20:20;2:20:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37%;;;;;;;;;;;
2:20:40;2:20:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.65%;;;;;;;;;;;
2:21:00;2:21:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44%;;;;;0.12%;;;;;;
2:21:20;2:21:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:21:40;2:21:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.39%;;;;;;;;;;;
2:22:00;2:22:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;
2:22:20;2:22:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:22:40;2:22:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:23:00;2:23:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;
2:23:20;2:23:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:23:40;2:23:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:24:00;2:24:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;
2:24:20;2:24:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;
2:24:40;2:24:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.01%;;;;;;;;;;;
2:25:00;2:25:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.83%;;;;;;;;;;;
2:25:20;2:25:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:25:40;2:25:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.22%;;;;;;;;;;;
2:26:00;2:26:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.65%;;;;;;;;;;;
2:26:20;2:26:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.58%;;;;;;;;;;;
2:26:40;2:26:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.46%;;;;;;;;;;;
2:27:00;2:27:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.63%;;;;;;;;;;;
2:27:20;2:27:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.51%;;;;;;;;;;;
2:27:40;2:27:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.52%;;;;;;;;;;;
2:28:00;2:28:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62%;;;;;;;;;;;
2:28:20;2:28:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.58%;;;;;;;;;;;
2:28:40;2:28:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35%;;;;;;;;;;;
2:29:00;2:29:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:29:20;2:29:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.06%;;;;;;;;;;;
2:29:40;2:29:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.11%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96%;;;;;;;;;;;
2:30:00;2:30:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.32%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.05%;;;;;;;;;;;
2:30:20;2:30:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.11%;;;;;;;;;;;;;;;;;;;;;;;;;;1.08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;;;;;;
2:30:40;2:30:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.30%;;;;;;;;;;;;;;;;;;;;;;;;;;1.04%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98%;;;;;;;;;;;
2:31:00;2:31:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98%;;;;;;;;;;;;;;;;;;;;;;;;;;0.97%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.00%;;;;;;;;;;;
2:31:20;2:31:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.04%;;;;;;;;;;;;;;;;;;;;;;;;;;0.98%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.19%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95%;;;;;;;;;;;
2:31:40;2:31:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97%;;;;;;;;;;;;;;;;;;;;;;;;;;0.88%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.13%;;;;;;1.09%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.92%;;;;;;;;;;;
2:32:00;2:32:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.87%;;;;;;;;;;;;;;;;;;;;;;;;;;0.82%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.83%;;;;;;1.24%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.90%;;;;;;;;;;;
2:32:20;2:32:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:32:40;2:32:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25%;;;;;;;;;;;
2:33:00;2:33:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.79%;;;;;;;;;;;
2:33:20;2:33:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44%;;;;;;;;;;;
2:33:40;2:33:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.40%;;;;;0.59%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.39%;;;;;;;;;;;
2:34:00;2:34:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.46%;;;;;0.36%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.32%;;;;;;;;;;;
2:34:20;2:34:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.39%;;;;;0.34%;;;;;;;;;;;;;;;;;;;;;;;;;0.37%;;;;0.35%;;;;;;;;;;;
2:34:40;2:34:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.31%;;;;;0.29%;;;;;;;;;;;;;;;;;;;;;;;;;0.36%;;;;0.22%;;;;;;;;;;;
2:35:00;2:35:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.26%;;0.39%;;;0.28%;;;;;;;;;;;;;;;;;;;;;;;;;0.41%;;;;0.22%;;;;;;;;;;;
2:35:20;2:35:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.18%;;0.28%;;;0.24%;;;;;;;;;;;;;;;;;;;;;;;;;0.24%;;;;0.20%;;;;;;;;;;;
2:35:40;2:35:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15%;;0.15%;;;0.17%;;;;;;;;;;;;;;;;;;;;;;;;;0.15%;;;;0.11%;;;;;;;;;;;
2:36:00;2:36:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:36:20;2:36:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.04%;;;;;;;;;;;
2:36:40;2:36:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.96%;;;;;;;;;;;;;;;;;;;;;;;;;1.04%;;;;;;;;;;;
2:37:00;2:37:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;;;;;;;;;;;;;;;;;;;;1.04%;;;;;;;;;;;
2:37:20;2:37:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.94%;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:37:40;2:37:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;
2:38:00;2:38:00;;;;;;;;;;;;;;;;;;;;;;;0.94%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.85%;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;;;;;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;
2:38:20;2:38:20;;;;;;;;;;;;;;;;;;;;;;;1.08%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.93%;;;;;;;;;;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;
2:38:40;2:38:40;;;;;;;;;;;;;;;;;;;;;;;1.19%;;;;;;;;1.03%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.81%;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.00%;;;;;;;;;;;;;;;;;;;;;;;;;0.98%;;;;;;;;;;;
2:39:00;2:39:00;;;;;;;;;;;;;;;;;;;;;;;1.01%;;;;;;;;0.96%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.79%;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;;;;;;;;;;;;;;;0.92%;;;;;;;;;;;
2:39:20;2:39:20;;;;;;;;;;;;;;;;;;;;;;;0.04%;;;;;;;;0.05%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01%;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:39:40;2:39:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08%;;;;;;;;;;;
2:40:00;2:40:00;;;;;;;;;;;;;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.72%;;;;;;;;;;;
2:40:20;2:40:20;;;;;;;;;;;;;0.51%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.38%;;;;;;;;;;;
2:40:40;2:40:40;;;;;;;;;;;;;0.49%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.43%;;;;;;;;;;;
2:41:00;2:41:00;;;;;0.42%;;;;;;;;0.31%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.27%;;;;;;;;;;;
2:41:20;2:41:20;;;;;0.38%;;;;;;;;0.30%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28%;;;;;;;;;;;
2:41:40;2:41:40;;;;;0.22%;;;;;;;;0.28%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.22%;;;;;;;;;;;
