sep=,
"Time","reducirimagen-755894457-44kpf","reducirimagen-755894457-bdsh5","reducirimagen-755894457-g2kft","reducirimagen-755894457-gcktk","reducirimagen-755894457-hzcng","reducirimagen-755894457-jfrcb","reducirimagen-755894457-jlvh4","reducirimagen-755894457-mngpf","reducirimagen-755894457-qqvpj","reducirimagen-755894457-qrk6x","reducirimagen-755894457-sdvzf","reducirimagen-755894457-wtd7j","reducirimagen-755894457-xch5x","reducirimagen-755894457-zhvt9"
2025-04-06 21:42:12,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:14,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:16,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:18,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:20,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:22,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:24,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:26,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:28,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:30,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:32,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:34,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:36,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:38,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:40,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:42,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:44,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:46,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:48,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:50,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:52,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:54,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:56,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:58,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:00,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:02,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:04,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:06,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:08,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:10,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:12,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:14,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:16,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:18,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:20,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:22,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:24,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:26,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:43:28,174 MB,344 kB,,360 kB,,,168 MB,,,196 MB,,,,244 MB
2025-04-06 21:43:30,174 MB,344 kB,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:32,174 MB,344 kB,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:34,174 MB,344 kB,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:36,174 MB,344 kB,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:38,174 MB,344 kB,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:40,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:42,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:44,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:46,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:48,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:50,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:52,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:54,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:56,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:43:58,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:44:00,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:44:02,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:44:04,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:44:06,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:44:08,174 MB,,,360 kB,,,,,,196 MB,,,,244 MB
2025-04-06 21:44:10,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:12,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:14,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:16,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:18,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:20,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:22,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:24,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:26,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:28,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:30,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:32,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:34,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:36,174 MB,,,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:38,174 MB,,0 B,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:40,174 MB,,0 B,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:42,174 MB,,0 B,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:44,174 MB,,0 B,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:46,174 MB,,0 B,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:48,174 MB,,0 B,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:50,174 MB,,168 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:52,174 MB,,168 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:54,174 MB,,168 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:56,174 MB,,168 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:44:58,174 MB,,168 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:45:00,174 MB,,168 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:45:02,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:45:04,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,246 MB
2025-04-06 21:45:06,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,251 MB
2025-04-06 21:45:08,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,251 MB
2025-04-06 21:45:10,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,251 MB
2025-04-06 21:45:12,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,251 MB
2025-04-06 21:45:14,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,251 MB
2025-04-06 21:45:16,174 MB,,171 MB,360 kB,,,,,,196 MB,,,,251 MB
2025-04-06 21:45:18,174 MB,,171 MB,360 kB,,,,,,196 MB,,,0 B,252 MB
2025-04-06 21:45:20,174 MB,,178 MB,360 kB,,,,,,196 MB,,,0 B,252 MB
2025-04-06 21:45:22,174 MB,,178 MB,360 kB,,,,,,196 MB,,,0 B,252 MB
2025-04-06 21:45:24,174 MB,,178 MB,360 kB,,,,,,196 MB,,,0 B,252 MB
2025-04-06 21:45:26,174 MB,,178 MB,360 kB,,,,,,196 MB,,,0 B,252 MB
2025-04-06 21:45:28,174 MB,,178 MB,360 kB,,,,,,196 MB,,,0 B,252 MB
2025-04-06 21:45:30,174 MB,,178 MB,360 kB,,,,,,196 MB,,,0 B,252 MB
2025-04-06 21:45:32,174 MB,,194 MB,360 kB,,,,,,196 MB,,,165 MB,252 MB
2025-04-06 21:45:34,174 MB,,194 MB,360 kB,,,,,,196 MB,,,165 MB,252 MB
2025-04-06 21:45:36,174 MB,,194 MB,360 kB,,,,,,196 MB,,,165 MB,252 MB
2025-04-06 21:45:38,174 MB,,194 MB,360 kB,,,,,,196 MB,,,165 MB,252 MB
2025-04-06 21:45:40,174 MB,,194 MB,360 kB,,,,,,196 MB,,,165 MB,252 MB
2025-04-06 21:45:42,174 MB,,194 MB,360 kB,,,,,,196 MB,,,165 MB,252 MB
2025-04-06 21:45:44,174 MB,,194 MB,360 kB,,,,,,196 MB,,,165 MB,252 MB
2025-04-06 21:45:46,174 MB,,194 MB,360 kB,,,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:45:48,174 MB,,194 MB,360 kB,,,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:45:50,174 MB,,194 MB,360 kB,,,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:45:52,174 MB,,195 MB,360 kB,,,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:45:54,174 MB,,195 MB,360 kB,,,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:45:56,174 MB,,195 MB,360 kB,,,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:45:58,174 MB,,195 MB,360 kB,,0 B,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:46:00,174 MB,,195 MB,360 kB,,0 B,,,,196 MB,,,169 MB,252 MB
2025-04-06 21:46:02,174 MB,,195 MB,360 kB,,0 B,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:04,174 MB,,195 MB,360 kB,,0 B,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:06,174 MB,,195 MB,360 kB,,0 B,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:08,174 MB,,195 MB,360 kB,,0 B,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:10,174 MB,,195 MB,360 kB,,0 B,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:12,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:14,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:16,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:18,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:20,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:22,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:24,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:26,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:28,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:30,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:32,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:34,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:36,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:38,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:40,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:42,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:44,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:46,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:48,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:50,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:52,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:54,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:56,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:46:58,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:47:00,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:47:02,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:47:04,174 MB,,195 MB,360 kB,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:47:06,174 MB,,195 MB,,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:47:08,174 MB,,195 MB,,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:47:10,174 MB,,195 MB,,,344 kB,,,,196 MB,,,173 MB,252 MB
2025-04-06 21:47:12,174 MB,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:14,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:16,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:18,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:20,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:22,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:24,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:26,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:28,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:30,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:32,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:34,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:36,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:38,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:40,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:42,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:44,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:46,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:48,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:50,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:52,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:54,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:56,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:47:58,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
2025-04-06 21:48:00,,,195 MB,,,344 kB,,,,,,,173 MB,252 MB
